name,optimum
n_1200_c_1000000_g_10_f_0.3_eps_0.0001_s_300,1036114
n_800_c_1000000_g_2_f_0.3_eps_0.01_s_300,545077
n_1000_c_1000000_g_10_f_0.3_eps_0.01_s_300,1027185
n_1000_c_10000000000_g_10_f_0.3_eps_0.001_s_200,-1
n_1000_c_100000000_g_10_f_0.1_eps_0_s_100,99825367
n_600_c_1000000_g_6_f_0.2_eps_1e-05_s_300,995131
n_800_c_1000000_g_10_f_0.2_eps_0_s_100,1007744
n_800_c_10000000000_g_10_f_0.2_eps_0.01_s_100,9999232243
n_1200_c_100000000_g_6_f_0.3_eps_1e-05_s_300,96968853
n_800_c_1000000_g_14_f_0.2_eps_0_s_100,1010423
n_800_c_1000000_g_14_f_0.1_eps_1e-05_s_300,1028600
n_600_c_1000000_g_10_f_0.1_eps_0.01_s_200,1007999
n_1200_c_1000000_g_2_f_0.3_eps_0.1_s_100,618212
n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_200,100019094
n_800_c_10000000000_g_2_f_0.2_eps_1e-05_s_300,5000124554
n_1200_c_1000000_g_2_f_0.3_eps_0.01_s_200,546298
n_1000_c_1000000_g_6_f_0.1_eps_1e-05_s_200,984513
n_800_c_10000000000_g_10_f_0.3_eps_0_s_200,9980515157
n_1200_c_100000000_g_10_f_0.1_eps_0_s_300,99870792
n_600_c_100000000_g_6_f_0.1_eps_0.01_s_300,99759828
n_800_c_100000000_g_10_f_0.2_eps_0_s_300,99863978
n_800_c_1000000_g_6_f_0.2_eps_1e-05_s_200,991078
n_800_c_100000000_g_6_f_0.1_eps_0.001_s_100,99981784
n_400_c_1000000_g_6_f_0.1_eps_0.0001_s_300,984994
n_600_c_100000000_g_10_f_0.1_eps_1e-05_s_300,100012517
n_1200_c_100000000_g_6_f_0.1_eps_0_s_200,96892373
n_600_c_100000000_g_2_f_0.3_eps_0.1_s_100,60009512
n_600_c_10000000000_g_14_f_0.1_eps_0.001_s_200,-1
n_800_c_10000000000_g_2_f_0.2_eps_0.01_s_200,5100017384
n_800_c_10000000000_g_2_f_0.2_eps_0.001_s_100,5010008771
n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_100,99972933
n_800_c_1000000_g_10_f_0.3_eps_0.0001_s_200,1016691
n_400_c_100000000_g_10_f_0.1_eps_0_s_200,99824544
n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_200,5001021091
n_800_c_100000000_g_10_f_0.1_eps_0.1_s_200,99971224
n_600_c_100000000_g_10_f_0.2_eps_0.01_s_100,100003497
n_400_c_100000000_g_14_f_0.2_eps_0.01_s_300,100013244
n_400_c_10000000000_g_10_f_0.2_eps_0.1_s_100,9996098219
n_1200_c_1000000_g_10_f_0.3_eps_1e-05_s_300,1036780
n_1000_c_100000000_g_2_f_0.3_eps_0.001_s_300,50143832
n_400_c_100000000_g_10_f_0.3_eps_0.001_s_100,100004751
n_1000_c_100000000_g_6_f_0.3_eps_0.01_s_300,99797730
n_400_c_10000000000_g_6_f_0.3_eps_0.0001_s_300,9718523821
n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_200,6000019896
n_800_c_100000000_g_10_f_0.3_eps_0.1_s_200,99986152
n_1200_c_100000000_g_14_f_0.2_eps_0.1_s_100,100004735
n_1000_c_100000000_g_14_f_0.2_eps_0.0001_s_300,100035281
n_400_c_1000000_g_2_f_0.3_eps_0_s_300,518908
n_1200_c_100000000_g_14_f_0.2_eps_0_s_200,100029072
n_1000_c_100000000_g_2_f_0.1_eps_0.1_s_100,60005040
n_600_c_10000000000_g_6_f_0.3_eps_0_s_300,9687534664
n_600_c_100000000_g_10_f_0.2_eps_0.1_s_300,99981030
n_800_c_1000000_g_2_f_0.1_eps_1e-05_s_300,512313
n_800_c_1000000_g_14_f_0.2_eps_1e-05_s_200,1018832
n_800_c_1000000_g_14_f_0.1_eps_0.1_s_200,1004032
n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_300,5010015078
n_400_c_100000000_g_6_f_0.2_eps_1e-05_s_200,96918145
n_400_c_1000000_g_2_f_0.1_eps_0.001_s_200,504648
n_400_c_10000000000_g_6_f_0.3_eps_0_s_100,9687508107
n_800_c_1000000_g_6_f_0.1_eps_1e-05_s_200,983203
n_600_c_10000000000_g_2_f_0.1_eps_1e-05_s_300,5000108610
n_1200_c_1000000_g_2_f_0.1_eps_1e-05_s_200,513841
n_600_c_100000000_g_2_f_0.1_eps_1e-05_s_100,50004296
n_1200_c_1000000_g_14_f_0.3_eps_0.1_s_200,1013469
n_800_c_10000000000_g_6_f_0.1_eps_0.01_s_300,9975014030
n_600_c_10000000000_g_6_f_0.2_eps_1e-05_s_100,9690609055
n_800_c_100000000_g_10_f_0.2_eps_0.0001_s_300,100022035
n_1000_c_10000000000_g_10_f_0.3_eps_0.0001_s_300,-1
n_1000_c_100000000_g_14_f_0.1_eps_0_s_100,100010523
n_600_c_1000000_g_10_f_0.2_eps_0_s_100,1006560
n_1200_c_10000000000_g_6_f_0.2_eps_0.0001_s_200,9718531814
n_800_c_10000000000_g_2_f_0.3_eps_0.01_s_100,5100012520
n_600_c_10000000000_g_14_f_0.1_eps_0.0001_s_100,-1
n_600_c_1000000_g_10_f_0.3_eps_0.001_s_300,1022973
n_600_c_1000000_g_10_f_0.1_eps_0.0001_s_100,1004855
n_1000_c_100000000_g_14_f_0.2_eps_0.0001_s_100,100011989
n_600_c_10000000000_g_6_f_0.1_eps_0.0001_s_200,9718511235
n_400_c_1000000_g_14_f_0.3_eps_0_s_100,1005018
n_1200_c_10000000000_g_10_f_0.2_eps_0.01_s_100,9999237541
n_400_c_1000000_g_14_f_0.3_eps_0_s_200,1012272
n_800_c_100000000_g_6_f_0.2_eps_0.0001_s_300,97216957
n_1000_c_1000000_g_14_f_0.3_eps_0.001_s_100,1011738
n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_300,6000043425
n_600_c_100000000_g_14_f_0.1_eps_0.001_s_300,100022897
n_1200_c_10000000000_g_6_f_0.2_eps_0.001_s_100,9997515023
n_1200_c_1000000_g_10_f_0.1_eps_0.0001_s_200,1018953
n_400_c_1000000_g_2_f_0.1_eps_1e-05_s_300,506272
n_800_c_10000000000_g_2_f_0.2_eps_0.001_s_300,5010026215
n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_300,100027830
n_600_c_1000000_g_10_f_0.3_eps_0_s_100,1007533
n_800_c_10000000000_g_6_f_0.2_eps_0.0001_s_100,9718510742
n_600_c_10000000000_g_10_f_0.3_eps_1e-05_s_200,-1
n_800_c_100000000_g_14_f_0.2_eps_0_s_300,100030197
n_800_c_1000000_g_10_f_0.3_eps_1e-05_s_100,1009388
n_1200_c_100000000_g_14_f_0.3_eps_1e-05_s_100,100014610
n_600_c_1000000_g_6_f_0.1_eps_1e-05_s_200,980409
n_600_c_100000000_g_2_f_0.2_eps_0.001_s_100,50105828
n_1200_c_10000000000_g_2_f_0.3_eps_1e-05_s_300,5000156208
n_1000_c_100000000_g_6_f_0.3_eps_0.0001_s_100,97202889
n_400_c_100000000_g_2_f_0.3_eps_0.01_s_200,51012697
n_400_c_10000000000_g_6_f_0.1_eps_0.001_s_300,9997512499
n_1200_c_10000000000_g_6_f_0.2_eps_0.001_s_300,9997544214
n_600_c_10000000000_g_2_f_0.2_eps_0.01_s_300,5100017840
n_1200_c_10000000000_g_14_f_0.3_eps_0.0001_s_100,-1
n_600_c_100000000_g_10_f_0.3_eps_0_s_200,99841429
n_800_c_1000000_g_10_f_0.3_eps_0.1_s_200,1008490
n_600_c_100000000_g_10_f_0.2_eps_0.001_s_200,100011852
n_800_c_100000000_g_6_f_0.2_eps_0.01_s_200,99765563
n_1000_c_1000000_g_10_f_0.3_eps_0.01_s_200,1015997
n_1200_c_1000000_g_14_f_0.1_eps_0.0001_s_200,1026532
n_1200_c_100000000_g_6_f_0.1_eps_0.01_s_200,99763925
n_1200_c_100000000_g_14_f_0.3_eps_0.0001_s_200,100028710
n_800_c_10000000000_g_6_f_0.1_eps_0.001_s_200,9997513189
n_1200_c_100000000_g_6_f_0.3_eps_0.01_s_100,99768186
n_800_c_1000000_g_6_f_0.1_eps_0_s_200,983027
n_1200_c_100000000_g_6_f_0.2_eps_0.0001_s_200,97215544
n_400_c_10000000000_g_6_f_0.1_eps_0.0001_s_100,9718504455
n_400_c_10000000000_g_6_f_0.3_eps_0.0001_s_100,9718508284
n_800_c_1000000_g_14_f_0.2_eps_0.0001_s_100,1010244
n_1200_c_1000000_g_6_f_0.1_eps_0.1_s_300,1007002
n_400_c_10000000000_g_2_f_0.1_eps_0.001_s_200,5010004519
n_800_c_10000000000_g_14_f_0.2_eps_0.01_s_300,-1
n_1200_c_100000000_g_6_f_0.2_eps_1e-05_s_300,96951525
n_600_c_100000000_g_2_f_0.2_eps_0_s_300,50017267
n_1200_c_1000000_g_6_f_0.1_eps_0_s_300,996341
n_400_c_100000000_g_10_f_0.3_eps_0_s_200,99829820
n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_200,9999239905
n_400_c_100000000_g_14_f_0.1_eps_1e-05_s_100,100005268
n_400_c_10000000000_g_2_f_0.3_eps_0.0001_s_200,5001012703
n_1200_c_1000000_g_6_f_0.3_eps_0.01_s_300,1022198
n_1000_c_1000000_g_10_f_0.1_eps_0_s_200,1016126
n_800_c_1000000_g_14_f_0.1_eps_0.01_s_200,1011925
n_800_c_1000000_g_6_f_0.1_eps_0.1_s_200,1002757
n_400_c_100000000_g_6_f_0.3_eps_1e-05_s_100,96914165
n_600_c_10000000000_g_14_f_0.2_eps_0_s_200,-1
n_600_c_10000000000_g_2_f_0.3_eps_0_s_100,5000010100
n_400_c_10000000000_g_2_f_0.1_eps_0.001_s_300,5010006558
n_800_c_100000000_g_14_f_0.2_eps_0.0001_s_300,100030238
n_800_c_100000000_g_14_f_0.2_eps_0.001_s_200,100019171
n_600_c_100000000_g_6_f_0.3_eps_0.01_s_200,99768523
n_800_c_100000000_g_2_f_0.1_eps_0.01_s_300,51012822
n_1200_c_10000000000_g_10_f_0.1_eps_0_s_100,9980490964
n_800_c_100000000_g_10_f_0.1_eps_0_s_200,99838079
n_1200_c_10000000000_g_10_f_0.3_eps_0.1_s_100,9996113739
n_400_c_1000000_g_2_f_0.1_eps_1e-05_s_200,503977
n_600_c_1000000_g_10_f_0.2_eps_0.0001_s_300,1017782
n_400_c_1000000_g_14_f_0.1_eps_0.001_s_300,1014515
n_1200_c_1000000_g_14_f_0.2_eps_0.0001_s_200,1029829
n_600_c_10000000000_g_14_f_0.3_eps_0_s_200,9998821502
n_600_c_100000000_g_10_f_0.3_eps_0.01_s_100,100005424
n_600_c_100000000_g_10_f_0.1_eps_1e-05_s_200,100005696
n_1200_c_100000000_g_14_f_0.1_eps_0.01_s_200,100015088
n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_200,100005347
n_600_c_10000000000_g_10_f_0.1_eps_1e-05_s_100,9999481922
n_1000_c_1000000_g_2_f_0.3_eps_0_s_300,545248
n_400_c_100000000_g_10_f_0.1_eps_0.01_s_200,100004699
n_400_c_10000000000_g_10_f_0.3_eps_0.001_s_100,9999852972
n_800_c_10000000000_g_6_f_0.3_eps_0.0001_s_100,9718514772
n_400_c_1000000_g_2_f_0.3_eps_0.001_s_300,520347
n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_200,100015029
n_600_c_100000000_g_2_f_0.3_eps_0.0001_s_200,50028822
n_600_c_10000000000_g_6_f_0.1_eps_0.0001_s_100,9718505629
n_600_c_1000000_g_14_f_0.2_eps_0.001_s_200,1014862
n_400_c_100000000_g_2_f_0.1_eps_0.001_s_300,50106235
n_800_c_10000000000_g_2_f_0.1_eps_0.001_s_300,5010011586
n_600_c_1000000_g_10_f_0.1_eps_0_s_300,1015498
n_1000_c_100000000_g_6_f_0.1_eps_0_s_100,96882889
n_400_c_1000000_g_6_f_0.1_eps_0.1_s_100,996005
n_800_c_1000000_g_2_f_0.3_eps_0.01_s_200,535304
n_800_c_10000000000_g_14_f_0.2_eps_1e-05_s_200,-1
n_400_c_100000000_g_6_f_0.2_eps_0.01_s_100,99754685
n_1000_c_100000000_g_2_f_0.1_eps_1e-05_s_300,50016475
n_800_c_10000000000_g_14_f_0.1_eps_0.0001_s_300,-1
n_1200_c_10000000000_g_10_f_0.2_eps_0.1_s_300,9996132418
n_600_c_100000000_g_10_f_0.1_eps_0.01_s_200,100007209
n_1000_c_10000000000_g_2_f_0.1_eps_0_s_300,5000015845
n_1200_c_1000000_g_6_f_0.2_eps_1e-05_s_300,1011880
n_1000_c_100000000_g_6_f_0.1_eps_0.1_s_200,99386175
n_800_c_100000000_g_2_f_0.3_eps_0.1_s_200,60024093
n_1000_c_1000000_g_2_f_0.2_eps_0.0001_s_300,530313
n_800_c_1000000_g_2_f_0.2_eps_0.001_s_300,525569
n_1200_c_10000000000_g_6_f_0.1_eps_0.001_s_200,9997518016
n_400_c_10000000000_g_14_f_0.1_eps_1e-05_s_100,10000004214
n_600_c_10000000000_g_6_f_0.1_eps_1e-05_s_200,9690611014
n_400_c_1000000_g_10_f_0.2_eps_0.01_s_300,1011161
n_400_c_1000000_g_6_f_0.1_eps_0_s_200,977038
n_1200_c_10000000000_g_10_f_0.3_eps_0.1_s_200,9996133530
n_1000_c_1000000_g_6_f_0.2_eps_0.1_s_200,1007330
n_1200_c_100000000_g_6_f_0.2_eps_0_s_200,96904029
n_1000_c_1000000_g_2_f_0.1_eps_0.01_s_100,515037
n_1200_c_100000000_g_6_f_0.1_eps_0.0001_s_300,97212305
n_600_c_10000000000_g_6_f_0.2_eps_0.0001_s_100,9718509230
n_1000_c_1000000_g_10_f_0.2_eps_0_s_300,1029218
n_400_c_1000000_g_2_f_0.1_eps_0_s_200,503787
n_1000_c_1000000_g_2_f_0.2_eps_1e-05_s_200,521022
n_400_c_1000000_g_2_f_0.1_eps_0.0001_s_200,505215
n_400_c_1000000_g_14_f_0.3_eps_0.001_s_100,1004925
n_1000_c_100000000_g_6_f_0.3_eps_0.001_s_200,100010481
n_1000_c_10000000000_g_14_f_0.1_eps_0.0001_s_100,10000011507
n_400_c_1000000_g_10_f_0.1_eps_0.01_s_200,1005894
n_1200_c_100000000_g_6_f_0.2_eps_0.01_s_100,99762071
n_1200_c_100000000_g_14_f_0.2_eps_1e-05_s_300,100041875
n_400_c_10000000000_g_14_f_0.3_eps_0.0001_s_200,10000010942
n_600_c_1000000_g_14_f_0.3_eps_0.001_s_200,1016255
n_800_c_10000000000_g_2_f_0.1_eps_1e-05_s_300,5000112033
n_600_c_10000000000_g_10_f_0.2_eps_0.01_s_100,9999229554
n_800_c_10000000000_g_6_f_0.3_eps_0_s_300,9687544753
n_1000_c_1000000_g_6_f_0.1_eps_0.0001_s_300,993984
n_600_c_100000000_g_14_f_0.3_eps_0_s_300,100024233
n_1000_c_1000000_g_14_f_0.3_eps_0.01_s_100,1009446
n_600_c_10000000000_g_10_f_0.3_eps_0_s_200,9980506379
n_1200_c_10000000000_g_10_f_0.1_eps_0_s_300,9980533466
n_1000_c_1000000_g_14_f_0.1_eps_0.001_s_100,1011916
n_800_c_1000000_g_14_f_0.3_eps_0.0001_s_200,1020480
n_800_c_1000000_g_2_f_0.2_eps_0.1_s_200,615577
n_1000_c_10000000000_g_10_f_0.3_eps_0_s_300,9980552784
n_600_c_100000000_g_2_f_0.1_eps_0.01_s_200,51006727
n_800_c_10000000000_g_2_f_0.3_eps_0.001_s_200,5010025415
n_1200_c_10000000000_g_10_f_0.2_eps_0_s_200,9980523755
n_800_c_100000000_g_14_f_0.1_eps_0_s_100,100008529
n_600_c_10000000000_g_6_f_0.2_eps_0.01_s_100,9975006126
n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_200,5000130086
n_600_c_100000000_g_2_f_0.2_eps_0.0001_s_300,50029162
n_400_c_100000000_g_6_f_0.1_eps_0.1_s_300,99382647
n_1000_c_100000000_g_6_f_0.3_eps_0.001_s_300,100018757
n_1000_c_1000000_g_2_f_0.2_eps_0_s_300,528839
n_600_c_1000000_g_10_f_0.3_eps_0.01_s_300,1017027
n_400_c_10000000000_g_6_f_0.3_eps_0.001_s_300,9997526012
n_800_c_100000000_g_10_f_0.2_eps_0.001_s_100,100007292
n_400_c_10000000000_g_2_f_0.2_eps_0.1_s_100,6000004725
n_400_c_1000000_g_6_f_0.2_eps_0.001_s_100,1002458
n_600_c_10000000000_g_14_f_0.2_eps_0.001_s_200,-1
n_400_c_100000000_g_2_f_0.2_eps_1e-05_s_200,50009187
n_600_c_100000000_g_6_f_0.3_eps_1e-05_s_200,96929067
n_400_c_1000000_g_2_f_0.1_eps_0.001_s_100,503313
n_600_c_1000000_g_2_f_0.1_eps_1e-05_s_100,503327
n_1200_c_100000000_g_10_f_0.2_eps_0.0001_s_200,100021696
n_600_c_10000000000_g_14_f_0.3_eps_1e-05_s_300,-1
n_600_c_1000000_g_2_f_0.2_eps_1e-05_s_300,519257
n_1000_c_1000000_g_2_f_0.3_eps_1e-05_s_100,515468
n_800_c_1000000_g_6_f_0.2_eps_0.001_s_200,1007599
n_400_c_1000000_g_2_f_0.2_eps_0_s_200,508833
n_400_c_10000000000_g_6_f_0.2_eps_0.001_s_300,9997518601
n_400_c_1000000_g_2_f_0.2_eps_0.001_s_300,514845
n_600_c_100000000_g_2_f_0.2_eps_0.01_s_100,51006500
n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_200,-1
n_800_c_100000000_g_14_f_0.1_eps_0.0001_s_200,100018965
n_800_c_100000000_g_2_f_0.1_eps_0_s_200,50007978
n_1200_c_10000000000_g_6_f_0.1_eps_0.1_s_200,9937513308
n_800_c_1000000_g_10_f_0.1_eps_0.01_s_100,1005103
n_400_c_1000000_g_6_f_0.2_eps_1e-05_s_100,975324
n_400_c_1000000_g_10_f_0.1_eps_1e-05_s_100,1004044
n_800_c_1000000_g_14_f_0.3_eps_0.0001_s_300,1032488
n_600_c_1000000_g_6_f_0.1_eps_0_s_300,986066
n_1000_c_1000000_g_14_f_0.2_eps_0.1_s_300,1011256
n_600_c_1000000_g_14_f_0.2_eps_0.001_s_300,1022616
n_1000_c_100000000_g_2_f_0.2_eps_0_s_300,50030242
n_400_c_10000000000_g_6_f_0.3_eps_1e-05_s_300,9690624213
n_800_c_100000000_g_14_f_0.2_eps_0.01_s_100,100007693
n_800_c_1000000_g_10_f_0.1_eps_0_s_200,1012722
n_600_c_1000000_g_14_f_0.3_eps_0.0001_s_100,1007863
n_1200_c_10000000000_g_2_f_0.2_eps_0.1_s_200,6000023510
n_1000_c_10000000000_g_10_f_0.2_eps_0_s_300,9980537372
n_1200_c_1000000_g_14_f_0.2_eps_1e-05_s_100,1014337
n_400_c_10000000000_g_2_f_0.2_eps_0.1_s_200,6000008277
n_800_c_100000000_g_14_f_0.3_eps_1e-05_s_200,100022374
n_1200_c_1000000_g_2_f_0.3_eps_0.01_s_300,563157
n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_200,9999767602
n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_100,5001009672
n_400_c_100000000_g_2_f_0.3_eps_0.001_s_200,50111076
n_800_c_1000000_g_14_f_0.1_eps_0_s_300,1028045
n_1000_c_1000000_g_14_f_0.3_eps_0.0001_s_100,1012681
n_400_c_10000000000_g_10_f_0.1_eps_0.1_s_200,9996099149
n_400_c_10000000000_g_6_f_0.2_eps_0.0001_s_200,9718513115
n_400_c_1000000_g_6_f_0.1_eps_0.01_s_100,1000533
n_800_c_1000000_g_10_f_0.2_eps_0.01_s_300,1017854
n_1000_c_1000000_g_10_f_0.1_eps_1e-05_s_200,1014385
n_400_c_100000000_g_2_f_0.3_eps_0.1_s_300,60019036
n_400_c_100000000_g_6_f_0.3_eps_0.1_s_100,99381186
n_600_c_10000000000_g_6_f_0.2_eps_0.001_s_200,9997517500
n_400_c_1000000_g_10_f_0.2_eps_0.1_s_100,1002470
n_800_c_100000000_g_10_f_0.3_eps_0.01_s_100,100006835
n_600_c_1000000_g_14_f_0.1_eps_1e-05_s_300,1022890
n_1200_c_10000000000_g_10_f_0.2_eps_1e-05_s_200,-1
n_1200_c_100000000_g_10_f_0.3_eps_0.1_s_300,100013229
n_1200_c_1000000_g_10_f_0.3_eps_0.01_s_200,1021502
n_800_c_10000000000_g_10_f_0.3_eps_0.1_s_200,9996120129
n_400_c_1000000_g_14_f_0.2_eps_0.0001_s_100,1005247
n_1200_c_100000000_g_2_f_0.1_eps_0.001_s_100,50106076
n_800_c_10000000000_g_2_f_0.1_eps_0.0001_s_300,5001011658
n_600_c_10000000000_g_2_f_0.1_eps_0.01_s_100,5100003116
n_1200_c_10000000000_g_10_f_0.2_eps_0.1_s_100,9996107634
n_400_c_1000000_g_14_f_0.1_eps_1e-05_s_100,1004824
n_400_c_100000000_g_6_f_0.3_eps_0_s_100,96882567
n_800_c_1000000_g_14_f_0.1_eps_0_s_200,1019845
n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_200,9718525688
n_1200_c_100000000_g_10_f_0.2_eps_0.1_s_100,99973667
n_600_c_100000000_g_2_f_0.1_eps_0.0001_s_100,50013062
n_1200_c_10000000000_g_14_f_0.1_eps_0.0001_s_100,10000013634
n_1000_c_100000000_g_14_f_0.2_eps_0.1_s_100,100004062
n_600_c_1000000_g_2_f_0.1_eps_1e-05_s_200,505610
n_400_c_1000000_g_14_f_0.3_eps_0.1_s_100,1002634
n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_200,9999251381
n_1200_c_10000000000_g_10_f_0.3_eps_1e-05_s_200,-1
n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_300,-1
n_800_c_10000000000_g_2_f_0.2_eps_0.001_s_200,5010015986
n_400_c_100000000_g_10_f_0.3_eps_0.001_s_200,100009075
n_1200_c_100000000_g_14_f_0.1_eps_0.001_s_200,100023389
n_1200_c_10000000000_g_10_f_0.1_eps_0.01_s_300,9999253792
n_600_c_100000000_g_10_f_0.3_eps_0.01_s_200,100010792
n_600_c_10000000000_g_2_f_0.1_eps_0.01_s_300,5100008435
n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_200,9996105266
n_400_c_10000000000_g_10_f_0.3_eps_1e-05_s_300,9993104063
n_800_c_10000000000_g_10_f_0.1_eps_0_s_100,9980486188
n_400_c_10000000000_g_2_f_0.3_eps_0.001_s_300,5010018062
n_600_c_1000000_g_2_f_0.2_eps_0.1_s_100,605904
n_1200_c_100000000_g_14_f_0.1_eps_0_s_100,100013402
n_400_c_1000000_g_14_f_0.2_eps_0.0001_s_300,1016835
n_800_c_100000000_g_6_f_0.1_eps_0.0001_s_200,97198776
n_400_c_1000000_g_2_f_0.2_eps_1e-05_s_300,512494
n_400_c_1000000_g_2_f_0.2_eps_0.0001_s_200,507574
n_1200_c_1000000_g_6_f_0.3_eps_0_s_100,989495
n_400_c_1000000_g_6_f_0.3_eps_0_s_200,986199
n_600_c_1000000_g_6_f_0.2_eps_0.0001_s_200,989237
n_400_c_100000000_g_14_f_0.1_eps_0.001_s_100,100005288
n_600_c_1000000_g_2_f_0.3_eps_0.01_s_300,539538
n_800_c_100000000_g_6_f_0.2_eps_0_s_200,96896376
n_400_c_1000000_g_2_f_0.3_eps_0.1_s_300,617769
n_1000_c_100000000_g_14_f_0.2_eps_0.001_s_200,100023518
n_400_c_10000000000_g_14_f_0.3_eps_0.0001_s_100,-1
n_1000_c_10000000000_g_14_f_0.1_eps_0.0001_s_300,-1
n_400_c_1000000_g_10_f_0.3_eps_0.0001_s_300,1014349
n_600_c_10000000000_g_10_f_0.3_eps_0.001_s_200,9999869885
n_600_c_10000000000_g_2_f_0.2_eps_0.001_s_300,5010017910
n_800_c_10000000000_g_2_f_0.2_eps_1e-05_s_100,5000107967
n_400_c_10000000000_g_6_f_0.2_eps_0.0001_s_100,9718506500
n_800_c_1000000_g_2_f_0.3_eps_0.0001_s_300,537158
n_600_c_1000000_g_2_f_0.2_eps_0.01_s_200,522499
n_600_c_100000000_g_14_f_0.2_eps_0.01_s_200,100011960
n_600_c_100000000_g_14_f_0.1_eps_0.01_s_200,100010531
n_1200_c_100000000_g_6_f_0.2_eps_0.001_s_300,100016377
n_400_c_10000000000_g_10_f_0.3_eps_0.01_s_200,9999239628
n_600_c_100000000_g_10_f_0.1_eps_0.0001_s_100,100004807
n_600_c_10000000000_g_10_f_0.1_eps_0.001_s_200,9999869579
n_1200_c_1000000_g_2_f_0.2_eps_0.1_s_300,636624
n_1200_c_100000000_g_14_f_0.1_eps_1e-05_s_200,100024864
n_1200_c_100000000_g_10_f_0.2_eps_0.001_s_100,100010132
n_600_c_10000000000_g_14_f_0.2_eps_0.01_s_300,-1
n_800_c_10000000000_g_14_f_0.2_eps_0.01_s_200,-1
n_1200_c_10000000000_g_2_f_0.1_eps_0.01_s_200,5100011268
n_600_c_100000000_g_6_f_0.2_eps_0.01_s_200,99763203
n_800_c_10000000000_g_10_f_0.2_eps_0.0001_s_300,9999972544
n_800_c_100000000_g_6_f_0.2_eps_0.1_s_100,99383437
n_600_c_10000000000_g_10_f_0.1_eps_0.01_s_200,9999234677
n_1200_c_1000000_g_14_f_0.3_eps_0.001_s_300,1043390
n_600_c_1000000_g_2_f_0.3_eps_1e-05_s_200,517679
n_400_c_10000000000_g_10_f_0.3_eps_0.01_s_100,9999228978
n_1200_c_100000000_g_2_f_0.3_eps_0.0001_s_100,50028008
n_800_c_100000000_g_10_f_0.2_eps_0.0001_s_100,100007523
n_1200_c_100000000_g_14_f_0.3_eps_1e-05_s_200,100030185
